course_year,age,study_hours_weekly_5-10,"physical_activity_Music/Arts, Clubs/Hobbies",class_absences_Often,course_year_4,course_year_3,financial_support,living_situation,father_education,study_hours_weekly,peer_support_Rarely,study_hours_weekly_<5,financial_support_Partially,class_absences,gpa
3,19,True,False,False,False,True,Fully,With parents,Higher,5-10,False,False,False,Almost never,3.6
4,20,False,False,False,True,False,Partially,Rented apartment,Secondary,<5,False,True,True,Sometimes,3.03
1,17,False,False,False,False,False,Fully,With parents,Vocational,>20,False,False,False,Almost never,3.8
4,21,False,False,False,True,False,Partially,Rented apartment,Higher,<5,False,True,True,Sometimes,3.39
5,22,True,False,False,False,False,Fully,With parents,Higher,5-10,False,False,False,Sometimes,3.0
4,21,True,False,False,True,False,Partially,Rented apartment,Higher,5-10,False,False,True,Almost never,3.35
4,23,True,False,True,True,False,Partially,Rented apartment,Vocational,5-10,False,False,True,Often,1.5
Masters,20,False,False,False,False,False,Partially,Other,Higher,>20,False,False,True,Almost never,3.1
2,19,True,False,False,False,False,Fully,Rented apartment,Higher,5-10,False,False,False,Almost never,3.6
2,19,True,False,False,False,False,Fully,Rented apartment,Secondary,5-10,False,False,False,Almost never,3.2
1,18,False,False,False,False,False,Partially,With parents,Secondary,<5,False,True,True,Sometimes,2.8
3,19,True,False,False,False,True,Fully,Rented apartment,Secondary,5-10,False,False,False,Sometimes,2.97
3,19,False,False,True,False,True,Partially,Rented apartment,Secondary,<5,False,True,True,Often,1.6
3,19,True,False,False,False,True,Partially,Dormitory,Vocational,5-10,True,False,True,Sometimes,2.95
3,22,False,False,True,False,True,Partially,Rented apartment,Vocational,>20,False,False,True,Often,2.0
Masters,25,False,False,False,False,False,Partially,Dormitory,Vocational,10-20,False,False,True,Sometimes,3.4
2,20,False,False,False,False,False,Partially,Rented apartment,Higher,>20,False,False,True,Almost never,3.5
4,21,True,False,False,True,False,Partially,Rented apartment,Higher,5-10,False,False,True,Sometimes,3.3
